site,date,humidity,o3,pm10,pm2.5,temp,co,no,no2,nox,so2,no2max,o3max,year
bringelly,1/01/2004,58.59545455,3.733333333,32.37142857,NA,27.27272727,NA,0.042857143,0.714285714,0.785714286,0.09047619,2.2,8.9,2004
camden,1/01/2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004
campbelltown.west,1/01/2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004
chullora,1/01/2004,63.72608696,2.622727273,27.33913043,8.465217391,25.26521739,NA,0.090909091,0.586363636,0.704545455,NA,1.6,4.8,2004
earlwood,1/01/2004,85.36956522,2.168181818,28.09565217,9.817391304,24.39130435,NA,0.122727273,0.45,0.572727273,NA,0.8,3.3,2004
lindfield,1/01/2004,81.72608696,2.181818182,32.17727273,NA,25.57826087,NA,NA,NA,NA,0.25,NA,4,2004
liverpool,1/01/2004,NA,2.918181818,29.5,16.02857143,27.85,0.172727273,0.081818182,0.795454545,0.868181818,NA,2.1,6.5,2004
oakdale,1/01/2004,57.24782609,5.036363636,NA,NA,26.30434783,NA,0.004545455,0.45,0.454545455,NA,1,10.2,2004
prospect,1/01/2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004
randwick,1/01/2004,NA,2.172727273,30.76521739,NA,22.6826087,NA,0.05,0.277272727,0.354545455,0.086363636,0.6,2.8,2004
richmond,1/01/2004,55.55217391,3.709090909,35.78636364,14.50909091,28.36956522,NA,0.040909091,0.722727273,0.763636364,0.227272727,3.5,7.7,2004
rozelle,1/01/2004,72.40869565,2.090909091,28.04347826,NA,24.00869565,0.159090909,0.227272727,0.681818182,0.881818182,NA,1.9,3.4,2004
st.marys,1/01/2004,53.72173913,3.913636364,37.98095238,NA,28.39565217,NA,0.077272727,0.881818182,0.968181818,NA,3.1,10.7,2004
vineyard,1/01/2004,56.40869565,3.895454545,29.44090909,NA,27.87391304,NA,0.05,0.527272727,0.586363636,0.254545455,2.5,8.4,2004
bringelly,2/01/2004,64.10833333,2.643478261,24.28333333,NA,24.67083333,NA,0.104347826,0.582608696,0.713043478,0.143478261,1.1,6.7,2004
camden,2/01/2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004
campbelltown.west,2/01/2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004
chullora,2/01/2004,62.37083333,1.839130435,21.07916667,5.341666667,23.99583333,NA,0.3,0.665217391,0.973913043,NA,1.6,3.1,2004
earlwood,2/01/2004,82.1125,1.752173913,20.8,5.058333333,23.55416667,NA,0.156521739,0.430434783,0.57826087,NA,0.6,2.3,2004
lindfield,2/01/2004,80.975,1.856521739,16.52083333,NA,23.39166667,NA,NA,NA,NA,0.013043478,NA,2.7,2004
liverpool,2/01/2004,NA,1.991304348,22.42083333,8.658333333,25.575,0.186956522,0.204347826,0.691304348,0.891304348,NA,1.2,4,2004
oakdale,2/01/2004,68.39166667,3.42173913,NA,NA,22.57916667,NA,0.013043478,0.343478261,0.343478261,NA,0.8,8.7,2004
prospect,2/01/2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004
randwick,2/01/2004,NA,1.965217391,32.72916667,NA,22.99166667,NA,0.07826087,0.252173913,0.352173913,0.004347826,0.4,2.4,2004
richmond,2/01/2004,61.45833333,2.956521739,25.75833333,7.558333333,25.65833333,NA,0.034782609,0.486956522,0.504347826,0.17826087,1.2,7.9,2004
rozelle,2/01/2004,67.75416667,1.860869565,18.3375,NA,23.5875,0.152173913,0.160869565,0.391304348,0.534782609,NA,0.7,2.5,2004
st.marys,2/01/2004,59.99166667,2.673913043,26.58695652,NA,25.50416667,NA,0.073913043,0.652173913,0.72173913,NA,1.3,7.7,2004
vineyard,2/01/2004,62.3875,2.682608696,21.85217391,NA,25.02083333,NA,0.07826087,0.530434783,0.6,0.169565217,1.4,6.5,2004
bringelly,3/01/2004,68.98333333,2.260869565,20.96666667,NA,24.24583333,NA,0.117391304,0.473913043,0.613043478,0.091304348,0.8,6.8,2004
camden,3/01/2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004
campbelltown.west,3/01/2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004
chullora,3/01/2004,66.84166667,1.817391304,21.15416667,6.016666667,24.3,NA,0.230434783,0.513043478,0.765217391,NA,1.1,4,2004
earlwood,3/01/2004,86.7625,1.413043478,22.63333333,5.6,24,NA,0.134782609,0.426086957,0.573913043,NA,0.7,2.5,2004
lindfield,3/01/2004,85.76666667,1.62173913,17.0625,NA,23.94166667,NA,NA,NA,NA,0.008695652,NA,3,2004
liverpool,3/01/2004,NA,1.852173913,21.375,9.775,25.90416667,0.217391304,0.430434783,0.630434783,1.043478261,NA,1.3,4.7,2004
oakdale,3/01/2004,73.50833333,2.904347826,NA,NA,21.95833333,NA,0.030434783,0.313043478,0.334782609,NA,0.4,8,2004
prospect,3/01/2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004
randwick,3/01/2004,NA,1.647826087,23.69166667,NA,23.09583333,NA,0.065217391,0.204347826,0.273913043,0.013043478,0.4,2.3,2004
richmond,3/01/2004,64.95,2.508695652,25.77826087,6.691666667,25.15833333,NA,0.056521739,0.443478261,0.47826087,0.07826087,1.1,7.2,2004
rozelle,3/01/2004,73.46666667,1.395652174,23.35,NA,23.84166667,0.165217391,0.247826087,0.469565217,0.704347826,NA,0.8,2.1,2004
st.marys,3/01/2004,66.725,2.2,26.29166667,NA,24.52083333,NA,0.143478261,0.582608696,0.713043478,NA,1,8.1,2004
vineyard,3/01/2004,65.725,2.482608696,20.54583333,NA,24.88333333,NA,0.07826087,0.365217391,0.443478261,0.126086957,0.7,6.9,2004
bringelly,4/01/2004,63.08333333,2.786956522,25.50416667,NA,27.33333333,NA,0.017391304,0.330434783,0.365217391,0.073913043,0.8,7.6,2004
camden,4/01/2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004
campbelltown.west,4/01/2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004
chullora,4/01/2004,65.50833333,1.852173913,21.85416667,6.625,25.875,NA,0.134782609,0.430434783,0.6,NA,1,4.5,2004
earlwood,4/01/2004,86.75833333,1.260869565,23.55833333,7.258333333,25.075,NA,0.208695652,0.465217391,0.686956522,NA,1,3.1,2004
