"site","date","pm2.5"
"liverpool","07/05/1996",NA
"earlwood","07/05/1996",NA
"richmond","07/05/1996",3.5
"chullora","07/05/1996",NA
"liverpool","08/05/1996",NA
"richmond","08/05/1996",NA
"chullora","08/05/1996",NA
"earlwood","08/05/1996",NA
"liverpool","09/05/1996",NA
"richmond","09/05/1996",NA
"earlwood","09/05/1996",NA
"chullora","09/05/1996",NA
"liverpool","10/05/1996",NA
"earlwood","10/05/1996",NA
"chullora","10/05/1996",NA
"richmond","10/05/1996",NA
"chullora","11/05/1996",NA
"richmond","11/05/1996",NA
"liverpool","11/05/1996",NA
"earlwood","11/05/1996",NA
"richmond","12/05/1996",NA
"chullora","12/05/1996",NA
"liverpool","12/05/1996",NA
"earlwood","12/05/1996",NA
"liverpool","13/05/1996",NA
"earlwood","13/05/1996",NA
"richmond","13/05/1996",3.7
"chullora","13/05/1996",NA
"chullora","14/05/1996",NA
"earlwood","14/05/1996",NA
"richmond","14/05/1996",NA
"liverpool","14/05/1996",NA
"richmond","15/05/1996",NA
"liverpool","15/05/1996",NA
"chullora","15/05/1996",NA
"earlwood","15/05/1996",NA
"liverpool","16/05/1996",NA
"earlwood","16/05/1996",NA
"richmond","16/05/1996",NA
"chullora","16/05/1996",NA
"chullora","17/05/1996",NA
"liverpool","17/05/1996",NA
"earlwood","17/05/1996",NA
"richmond","17/05/1996",NA
"earlwood","18/05/1996",NA
"liverpool","18/05/1996",NA
"richmond","18/05/1996",1.3
"chullora","18/05/1996",NA
"liverpool","19/05/1996",NA
"earlwood","19/05/1996",NA
"richmond","19/05/1996",2.1
"chullora","19/05/1996",NA
"richmond","20/05/1996",2.2
"liverpool","20/05/1996",NA
"chullora","20/05/1996",NA
"earlwood","20/05/1996",NA
"liverpool","21/05/1996",NA
"richmond","21/05/1996",3.3
"earlwood","21/05/1996",NA
"chullora","21/05/1996",NA
"richmond","22/05/1996",5
"chullora","22/05/1996",NA
"liverpool","22/05/1996",NA
"earlwood","22/05/1996",NA
"richmond","23/05/1996",6.7
"chullora","23/05/1996",NA
"earlwood","23/05/1996",NA
"liverpool","23/05/1996",NA
"earlwood","24/05/1996",NA
"liverpool","24/05/1996",NA
"richmond","24/05/1996",5.9
"chullora","24/05/1996",NA
"chullora","25/05/1996",NA
"earlwood","25/05/1996",NA
"liverpool","25/05/1996",NA
"richmond","25/05/1996",7.1
"richmond","26/05/1996",3.7
"chullora","26/05/1996",NA
"liverpool","26/05/1996",NA
"earlwood","26/05/1996",NA
"liverpool","27/05/1996",NA
"chullora","27/05/1996",NA
"richmond","27/05/1996",8.3
"earlwood","27/05/1996",NA
"richmond","28/05/1996",8.7
"liverpool","28/05/1996",NA
"chullora","28/05/1996",NA
"earlwood","28/05/1996",NA
"earlwood","29/05/1996",NA
"richmond","29/05/1996",7.5
"chullora","29/05/1996",NA
"liverpool","29/05/1996",NA
"chullora","30/05/1996",NA
"liverpool","30/05/1996",NA
"richmond","30/05/1996",6.5
"earlwood","30/05/1996",NA
"earlwood","31/05/1996",NA
"liverpool","31/05/1996",NA
"chullora","31/05/1996",NA
"richmond","31/05/1996",9.7
"earlwood","01/06/1996",NA
"chullora","01/06/1996",NA
"liverpool","01/06/1996",NA
"richmond","01/06/1996",11.4
"liverpool","02/06/1996",NA
"earlwood","02/06/1996",NA
"chullora","02/06/1996",NA
"richmond","02/06/1996",9.5
"liverpool","03/06/1996",NA
"earlwood","03/06/1996",NA
"richmond","03/06/1996",4.1
"chullora","03/06/1996",NA
"liverpool","04/06/1996",NA
"earlwood","04/06/1996",NA
"richmond","04/06/1996",2.9
"chullora","04/06/1996",NA
"richmond","05/06/1996",4.9
"chullora","05/06/1996",NA
"liverpool","05/06/1996",NA
"earlwood","05/06/1996",NA
"richmond","06/06/1996",5.2
"liverpool","06/06/1996",NA
"chullora","06/06/1996",NA
"earlwood","06/06/1996",NA
"chullora","07/06/1996",NA
"richmond","07/06/1996",6.8
"earlwood","07/06/1996",NA
"liverpool","07/06/1996",NA
"richmond","08/06/1996",5.5
"chullora","08/06/1996",NA
"earlwood","08/06/1996",NA
"liverpool","08/06/1996",NA
"richmond","09/06/1996",14
"chullora","09/06/1996",NA
"liverpool","09/06/1996",NA
"earlwood","09/06/1996",NA
"richmond","10/06/1996",9.6
"earlwood","10/06/1996",NA
"liverpool","10/06/1996",NA
"chullora","10/06/1996",NA
"richmond","11/06/1996",0.1
"chullora","11/06/1996",NA
"liverpool","11/06/1996",NA
"earlwood","11/06/1996",NA
"earlwood","12/06/1996",NA
"liverpool","12/06/1996",NA
"richmond","12/06/1996",NA
"chullora","12/06/1996",NA
"liverpool","13/06/1996",NA
"earlwood","13/06/1996",NA
"richmond","13/06/1996",NA
"chullora","13/06/1996",NA
"richmond","14/06/1996",NA
"chullora","14/06/1996",NA
"earlwood","14/06/1996",NA
"liverpool","14/06/1996",NA
"liverpool","15/06/1996",NA
"earlwood","15/06/1996",NA
"richmond","15/06/1996",NA
"chullora","15/06/1996",NA
"chullora","16/06/1996",NA
"earlwood","16/06/1996",NA
"richmond","16/06/1996",NA
"liverpool","16/06/1996",NA
"richmond","17/06/1996",1.1
"liverpool","17/06/1996",NA
"earlwood","17/06/1996",NA
"chullora","17/06/1996",NA
"richmond","18/06/1996",3.3
"liverpool","18/06/1996",NA
"chullora","18/06/1996",NA
"earlwood","18/06/1996",NA
"liverpool","19/06/1996",NA
"richmond","19/06/1996",5.4
"chullora","19/06/1996",NA
"earlwood","19/06/1996",NA
"liverpool","20/06/1996",NA
"earlwood","20/06/1996",NA
"richmond","20/06/1996",8.1
"chullora","20/06/1996",NA
"liverpool","21/06/1996",NA
"earlwood","21/06/1996",NA
"richmond","21/06/1996",6.5
"chullora","21/06/1996",NA
"richmond","22/06/1996",11.1
"earlwood","22/06/1996",NA
"chullora","22/06/1996",NA
"liverpool","22/06/1996",NA
"liverpool","23/06/1996",NA
"richmond","23/06/1996",NA
"earlwood","23/06/1996",NA
"chullora","23/06/1996",NA
"chullora","24/06/1996",NA
"liverpool","24/06/1996",NA
"earlwood","24/06/1996",NA
"richmond","24/06/1996",0.8
"earlwood","25/06/1996",NA
"richmond","25/06/1996",3.7
"liverpool","25/06/1996",NA
"chullora","25/06/1996",NA
"liverpool","26/06/1996",NA
"earlwood","26/06/1996",NA
"richmond","26/06/1996",0.3
"chullora","26/06/1996",NA
"richmond","27/06/1996",NA
"liverpool","27/06/1996",NA
"chullora","27/06/1996",NA
"earlwood","27/06/1996",NA
