"site","date","rawdata","imputed_param"
"Chullora",2003-01-01,NA,NA
"Chullora",2003-01-02,NA,NA
"Chullora",2003-01-03,NA,NA
"Chullora",2003-01-04,NA,NA
"Chullora",2003-01-05,NA,NA
"Chullora",2003-01-06,NA,NA
"Chullora",2003-01-07,NA,NA
"Chullora",2003-01-08,NA,NA
"Chullora",2003-01-09,NA,NA
"Chullora",2003-01-10,NA,NA
"Chullora",2003-01-11,NA,NA
"Chullora",2003-01-12,NA,NA
"Chullora",2003-01-13,NA,NA
"Chullora",2003-01-14,NA,NA
"Chullora",2003-01-15,NA,NA
"Chullora",2003-01-16,NA,NA
"Chullora",2003-01-17,NA,NA
"Chullora",2003-01-18,25.3,25.3
"Chullora",2003-01-19,12.7,12.7
"Chullora",2003-01-20,15.4,15.4
"Chullora",2003-01-21,40.9,40.9
"Chullora",2003-01-22,12,12
"Chullora",2003-01-23,14.2,14.2
"Chullora",2003-01-24,11.1,11.1
"Chullora",2003-01-25,17.3,17.3
"Chullora",2003-01-26,41.5,41.5
"Chullora",2003-01-27,25.3,25.3
"Chullora",2003-01-28,9.2,9.2
"Chullora",2003-01-29,12.9,12.9
"Chullora",2003-01-30,32.9,32.9
"Chullora",2003-01-31,16.2,16.2
"Chullora",2003-02-01,10,10
"Chullora",2003-02-02,13.6,13.6
"Chullora",2003-02-03,8.8,8.8
"Chullora",2003-02-04,8.3,8.3
"Chullora",2003-02-05,10.6,10.6
"Chullora",2003-02-06,10.1,10.1
"Chullora",2003-02-07,11.8,11.8
"Chullora",2003-02-08,15.1,15.1
"Chullora",2003-02-09,7.6,7.6
"Chullora",2003-02-10,16.5,16.5
"Chullora",2003-02-11,17.7,17.7
"Chullora",2003-02-12,9.3,9.3
"Chullora",2003-02-13,15.3,15.3
"Chullora",2003-02-14,12.1,12.1
"Chullora",2003-02-15,13.3,13.3
"Chullora",2003-02-16,14.7,14.7
"Chullora",2003-02-17,13.7,13.7
"Chullora",2003-02-18,9,9
"Chullora",2003-02-19,11.5,11.5
"Chullora",2003-02-20,12.3,12.3
"Chullora",2003-02-21,8.7,8.7
"Chullora",2003-02-22,8.4,8.4
"Chullora",2003-02-23,6.3,6.3
"Chullora",2003-02-24,9.1,9.1
"Chullora",2003-02-25,10.2,10.2
"Chullora",2003-02-26,8.8,8.8
"Chullora",2003-02-27,12.7,12.7
"Chullora",2003-02-28,14.1,14.1
"Chullora",2003-03-01,6.2,6.2
"Chullora",2003-03-02,8,8
"Chullora",2003-03-03,11.4,11.4
"Chullora",2003-03-04,11.8,11.8
"Chullora",2003-03-05,11,11
"Chullora",2003-03-06,7.9,7.9
"Chullora",2003-03-07,10.6,10.6
"Chullora",2003-03-08,8.5,8.5
"Chullora",2003-03-09,7.1,7.1
"Chullora",2003-03-10,8.2,8.2
"Chullora",2003-03-11,8.1,8.1
"Chullora",2003-03-12,7.2,7.2
"Chullora",2003-03-13,9.7,9.7
"Chullora",2003-03-14,13.4,13.4
"Chullora",2003-03-15,11.4,11.4
"Chullora",2003-03-16,10.5,10.5
"Chullora",2003-03-17,8.5,8.5
"Chullora",2003-03-18,9.4,9.4
"Chullora",2003-03-19,13.4,13.4
"Chullora",2003-03-20,81.2,81.2
"Chullora",2003-03-21,16.9,16.9
"Chullora",2003-03-22,11.3,11.3
"Chullora",2003-03-23,6.4,6.4
"Chullora",2003-03-24,7.7,7.7
"Chullora",2003-03-25,12.4,12.4
"Chullora",2003-03-26,15.4,15.4
"Chullora",2003-03-27,12.5,12.5
"Chullora",2003-03-28,13.3,13.3
"Chullora",2003-03-29,12,12
"Chullora",2003-03-30,10.3,10.3
"Chullora",2003-03-31,7.7,7.7
"Chullora",2003-04-01,9.4,9.4
"Chullora",2003-04-02,16.1,16.1
"Chullora",2003-04-03,8.2,8.2
"Chullora",2003-04-04,5.7,5.7
"Chullora",2003-04-05,NA,4.41102508193083
"Chullora",2003-04-06,6.5,6.5
"Chullora",2003-04-07,10.8,10.8
"Chullora",2003-04-08,19.2,19.2
"Chullora",2003-04-09,13.7,13.7
"Chullora",2003-04-10,12.4,12.4
"Chullora",2003-04-11,8.9,8.9
"Chullora",2003-04-12,9.1,9.1
"Chullora",2003-04-13,9.6,9.6
"Chullora",2003-04-14,11.1,11.1
"Chullora",2003-04-15,NA,12.5205905084587
"Chullora",2003-04-16,NA,9.03784789453857
"Chullora",2003-04-17,4.3,4.3
"Chullora",2003-04-18,3.8,3.8
"Chullora",2003-04-19,4.5,4.5
"Chullora",2003-04-20,5.5,5.5
"Chullora",2003-04-21,6.1,6.1
"Chullora",2003-04-22,9.5,9.5
"Chullora",2003-04-23,11.2,11.2
"Chullora",2003-04-24,16.9,16.9
"Chullora",2003-04-25,10.9,10.9
"Chullora",2003-04-26,8.1,8.1
"Chullora",2003-04-27,5.6,5.6
"Chullora",2003-04-28,12.1,12.1
"Chullora",2003-04-29,11.4,11.4
"Chullora",2003-04-30,11.5,11.5
"Chullora",2003-05-01,11.6,11.6
"Chullora",2003-05-02,16.3,16.3
"Chullora",2003-05-03,14.4,14.4
"Chullora",2003-05-04,7.6,7.6
"Chullora",2003-05-05,7.1,7.1
"Chullora",2003-05-06,9.9,9.9
"Chullora",2003-05-07,17.2,17.2
"Chullora",2003-05-08,23,23
"Chullora",2003-05-09,14.6,14.6
"Chullora",2003-05-10,10.4,10.4
"Chullora",2003-05-11,8.3,8.3
"Chullora",2003-05-12,8.9,8.9
"Chullora",2003-05-13,9.7,9.7
"Chullora",2003-05-14,7.1,7.1
"Chullora",2003-05-15,9,9
"Chullora",2003-05-16,6.2,6.2
"Chullora",2003-05-17,5.1,5.1
"Chullora",2003-05-18,8.1,8.1
"Chullora",2003-05-19,10.3,10.3
"Chullora",2003-05-20,11.7,11.7
"Chullora",2003-05-21,6.5,6.5
"Chullora",2003-05-22,6.9,6.9
