"eventid","refid","eventid2","eventtype","place","mindate","maxdate","burnareaha","metconditions"
3,1,35,"bushfire","Albury",2003-01-11,2003-02-20,,
2,1,34,"dust","Albury",2003-03-19,2003-03-20,,
9,2,41,"woodsmoke","PERTH",1997-07-18,,,"Winter haze from wood heaters"
366,189,,"bushfire","Illawarra",1994-01-04,1994-01-14,,
367,189,,"bushfire","Sydney East",1994-01-04,1994-01-14,,
368,189,,"bushfire","Sydney West",1994-01-04,1994-01-14,,
369,189,,"bushfire","Newcastle",1994-01-04,1994-01-14,,
435,230,,"bushfire","Sydney East",2000-10-05,2000-10-08,"450",
436,230,,"bushfire","Newcastle",2000-10-05,2000-10-08,"450",
1146,676,,"bushfire","Albury",2003-01-21,,,
1222,742,,"bushfire","ALBANY",2007-02-12,2007-02-13,"5000",
475,248,,"bushfire","PERTH",2004-01-12,,,
479,252,,"possible biomass","PERTH",2006-03-28,,,
1227,747,,"bushfire","Wagga Wagga",2006-12-07,,,
1223,743,,"possible biomass","Tamworth",2009-03-05,,,
1224,744,,"prescribed burn","BUNBURY",2001-10-31,2001-11-01,,
1225,745,,"possible biomass","Tamworth",2005-04-02,2005-04-03,,
1233,752,,"dust","Sydney West",2003-03-20,,,
370,190,,"bushfire","launceston",2006-06-16,,,
371,191,,"bushfire","hobart",2007-01-11,,,
545,326,,"bushfire","PERTH",2005-01-06,,,
437,231,,"bushfire","Sydney East",2001-11-05,2001-11-06,,
390,209,,"bushfire","Sydney East",1997-11-29,1997-12-01,,
391,209,,"bushfire","Sydney West",1997-11-29,1997-12-01,,
392,209,,"bushfire","Newcastle",1997-11-29,1997-12-01,,
393,209,,"bushfire","Illawarra",1997-11-29,1997-12-01,,
438,231,,"bushfire","Newcastle",2001-11-05,2001-11-06,,
233,5,,"bushfire","Sydney West",1997-12-17,1997-12-19,,
232,5,,"bushfire","Sydney East",1997-12-17,1997-12-19,,
394,210,,"bushfire","Sydney East",1997-12-01,1997-12-05,,
395,210,,"bushfire","Sydney West",1997-12-01,1997-12-05,,
396,210,,"bushfire","Newcastle",1997-12-01,1997-12-05,,
452,240,,"bushfire","Sydney West",2003-01-22,,,
453,240,,"bushfire","Newcastle",2003-01-22,,,
454,240,,"bushfire","Illawarra",2003-01-22,,,
480,253,,"possible biomass","PERTH",2005-11-20,,,
398,211,,"bushfire","Sydney East",1997-11-29,1997-12-08,,
403,211,,"bushfire","Newcastle",1997-11-29,1997-12-08,,
404,212,,"bushfire","Sydney East",1997-12-11,,"1,200,000",
405,212,,"bushfire","Sydney West",1997-12-11,,"1,200,000",
444,237,,"bushfire","PERTH",2003-01-08,,,"hotspot far from perth, but with wind could have past over perth differen ttime of day"
424,223,,"bushfire","Sydney East",2000-02-09,,"7",
426,226,,"bushfire","Sydney East",2000-09-19,2000-09-20,,
427,226,,"bushfire","Illawarra",2000-09-19,2000-09-20,,
333,35,,"bushfire","Newcastle",1994-01-05,1994-01-17,"600000",
63,35,,"bushfire","Illawarra",1994-01-05,1994-01-17,"600000",
332,35,,"bushfire","Sydney West",1994-01-05,1994-01-17,"600000",
331,35,,"bushfire","Sydney East",1994-01-05,1994-01-17,"600000",
64,36,,"bushfire","Sydney West",1994-01-09,,,
65,37,,"bushfire","Sydney West",1994-01-07,,"1000000",
66,38,,"bushfire","Sydney West",1994-01-06,,,
