"refid","field1","field2","field3","field4","field5","field6","field7","field8","field9","field10","field11","field12","field13","field14","field15","field16","field17","field18","field19","field20","field21","field22","field23","field24","field25","field26","field27","field28","field29","field30","field31","field32","field33","field34","field35","field36","field37","field38","field39","field40","field41"
719,,,,2006,"june 18: hs near bunburry, some visisble smoke",,"modis",,,,,,,,,,,,,,,,,,,,,"modis smoke",,,,,,,,,,,"http://rapidfire.sci.gsfc.nasa.gov/realtime/single.php?2006169/crefl2_143.A2006169060500-2006169061000.500m.jpg",,
6,,,"TORRE, GIOVANNI",2007,"Nov 23: Firefighters battling Bushfires across Perth",,"The West Australian",,,,,,,,,,,,,,,,,,,,,"media"," November 23
Firefighters are battling a bushfire that has destroyed 12 hectares of bushland in the southern Perth suburb of Banjup.

The blaze started about 11.30am near the corner of Warton and Jandakot roads when a tractor fire ignited a drum of diesel fuel.

Two properties in the vicinity of the blaze are not under threat.

The fire is now contained and Fire and Emergency Service Authority spokesman Allen Gale said that the blaze was “pretty close to being under control”.

Fire fighters are also tackling spot fires in Yellagonga Regional Park in Perth’s northern suburbs. Motorists are advised to avoid Joondalup Drive and Burns Beach Road.",,,,,,,,,,"http://www.thewest.com.au/default.aspx?MenuID=145&ContentID=48128",,
7,,,"unknown",2007,"Nov 24:Crews mop up after Perth Bushfires",,"West Australian",,,,,,,,,,,,,,,,,,,,,"media","Nov 24 Firecrews are mopping up after two bushfires caused problems near Perth yesterday.


One of the fires south of Perth threatened property in the Canningvale/Forrestdale area south-east of the city.

Residents were evacuated and roads closed as firefighters battled to bring the blaze under control.

The second fire in the Yellagonga Regional Park, north of the city burned through 15 hectares of the park before being brought under control late yesterday.

At one stage lives and property were considered at risk along the north-east corner of the park along Joondalup Drive and Wanneroo Road.

Firecrews managed to bring both fires under control and no houses were lost.",,,,,,,,,,"http://www.thewest.com.au/default.aspx?MenuID=77&ContentID=48201",,
8,,,"Unknown",2007,"Feb 4: A SMOKE alert has been issued for the Perth metropolitan area after a thick haze caused by several bushfires blanketed the city",,"Australian Associated Press",,,,,,,,,,,,,,,,,,,,,"media","Feb 04  The Department of Environment and Conservation (DEC) said the smoke was caused by fires at Forrestdale, in Perth's hills, and Dwellingup and Williams, south of the capital.

The air quality was expected to improve by this evening (WDT) as winds shifted southeast, blowing the smoke offshore, the DEC said.

The department is advising people with respiratory conditions or other health issues to follow their usual medical advice.",,,,,,,,,,"http://www.theaustralian.news.com.au/story/0,20867,21168738-1702,00.html",,
9,,,"Gartrell, Adam",2007,"Devastating fire poses new threat feb 6 Perth",,"News.com.au",,,,,,,,,,,,,,,,,,,,,"media","Feb 6  FIREFIGHTERS are working to stay in control of a large bushfire south of Perth before predicted high temperatures and strong winds hit tomorrow.",,,,,,,,,,"http://www.news.com.au/couriermail/story/0,23739,21182495-5003402,00.html",,
10,,,,2007,"Homes Lost in WA Bushfires feb 4",,"abc.net.au",,,,,,,,,,,,,,,,,,,,,"media","Firefighters in Western Australia are bracing for another day battling a large blaze threatening property in the state's south-west.

The fire near Dwellingup, 100 kilometres south of Perth, has burnt out more than 3,000 hectares, claiming four houses and a number of sheds. 

Authorities are on high alert for predicted strong south-westerly winds later today that could fan the fire towards the town. 

Crews have been working to restore power and telephone services to Dwellingup that have been cut since yesterday afternoon. 

Meanwhile, fire authorities are confident blazes at Toodyay and Williams are now under control. 

Yesterday, a 26-year-old woman died while trying to escape the blaze at Toodyay, losing control of her car while driving through smoke.",,,,,,,,,,"http://www.abc.net.au/cgi-bin/common/printfriendly.pl?http://www.abc.net.au/news/newsitems/200702/s1839728.htm",,
352,,,,2004,"may 14: single vis hs in south newcastle, no visible smoke-possible biomass",,"modis",,,,,,,,,,,,,,,,,,,,,"modis hotspot",,,,,,,,,,,"http://rapidfire.sci.gsfc.nasa.gov/realtime/single.php?2004135/crefl1_143.A2004135004001-2004135004500.500m.jpg",,
13,,,,2006,"BushFire contained near WA jan 23-25",,"Sydney Morning Herald, smh.com.au",,,,,,,,,,,,,,,,,,,,,"media","A huge bushfire that had been threatening three towns in Western Australia has been contained as a result of much-needed rain.

But firefighters are still working to secure the burnt areas after halting the Murray River fire just kilometres from the towns of Waroona, Yarloop and Hamel, about 100 km south of Perth.

The fire has burnt out more than 9,000 hectares since it was deliberately lit on Sunday at Lane Poole Reserve, said Department of Conservation and Land Management (CALM) fire state duty officer Roger Armstrong.",,,,,,,,,,"http://www.smh.com.au/news/National/Bushfire-contained-near-three-WA-towns/2006/01/25/1138066833121.html",,
14,,,,2002,"Firefirghters Battle to control Perth Bushfire jan 13",,"ABC news online",,,,,,,,,,,,,,,,,,,,,"media","Firefighters assisted by water bombers are battling to control a large bushfire at Henley Brook, north of Perth.

They have managed to contain the blaze within a 30 hectare area, and some homeowners are on standby should they need to evacuate.

Fifty-five firefighters are trying to extinguish burning open grassland, which is creating heavy smoke in the area.

Police have closed a section of Park Street, between Lord Street and Middle Swan Road, due to the smoke.

Fire and Emergency Services' Graham Swift says evacuation plans are in place.

""We're confident we can hold it south of Parks Road, and contain it within the next hour or so,"" Mr Swift said.

""We have asked the people north of Parks Road to be on standby, however, our current position is to keep them in their own situation, but if it became necessary we would ask them to evacuate if they desired to do that",,,,,,,,,,"http://www.abc.net.au/news/newsitems/200201/s457529.htm",,
15,,,,2001,"two hotspots south of perth 10/31/2001",,"modis rapidfire",,,,,,,,,,,,,,,,,,,,,"modis hotspot","two small hot spots located south of perth, no visible smoke",,,,,,,,,,"http://rapidfire.sci.gsfc.nasa.gov/realtime/single.php?2001304/crefl1_143.A2001304021501-2001304022001.500m.jpg",,
